,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Temperature (F),Wind Speed
164,kozhanka,UA,1553902536,0,81,49.97,29.75,43.45,8.95
165,kutum,SD,1553902728,0,29,14.2,24.66,54.25,5.19
166,torbay,CA,1553902369,90,80,47.66,-52.73,30.29,8.05
167,ucluelet,CA,1553902557,20,71,48.94,-125.55,61.23,6.93
168,redmond,US,1553902698,75,41,47.67,-122.12,60.44,6.93
169,houma,CN,1553902728,0,37,35.63,111.36,41.11,3.51
170,nouakchott,MR,1553900400,20,82,18.08,-15.98,68.0,16.11
171,mar del plata,AR,1553902729,0,53,-46.43,-67.52,64.33,22.86
172,manta,RO,1553902729,8,81,45.1,24.1,29.05,1.95
173,taoudenni,ML,1553902729,100,37,22.68,-3.98,79.36,1.16
174,husavik,CA,1553902509,0,54,50.56,-96.99,28.54,13.0
175,hithadhoo,MV,1553902730,32,100,-0.6,73.08,82.96,4.29
176,chuy,UY,1553902730,68,78,-33.69,-53.46,71.35,16.49
177,kieta,PG,1553902194,44,98,-6.22,155.63,82.87,3.06
178,port-cartier,CA,1553900400,20,39,50.03,-66.88,28.4,5.82
179,nantucket,US,1553902693,40,87,41.28,-70.1,45.88,12.75
180,osmena,PH,1553902730,0,88,12.17,124.59,77.92,5.08
181,aswan,EG,1553896800,0,25,24.09,32.9,75.2,10.29
182,hambantota,LK,1553902731,12,100,6.12,81.12,79.99,5.75
183,barbastro,ES,1553902292,0,70,42.04,0.13,45.86,8.05
184,saint stephen,US,1553902723,40,60,45.7,-94.27,43.05,11.41
185,saint george,GR,1553899800,20,75,39.45,22.34,42.8,4.7
186,les cayes,HT,1553902487,64,100,18.19,-73.75,75.67,4.74
187,sioux lookout,CA,1553901900,90,86,50.1,-91.92,30.2,11.41
188,lorengau,PG,1553902732,44,98,-2.02,147.27,82.96,7.2
189,pisco,PE,1553900400,0,30,-13.71,-76.2,71.6,20.8
190,oistins,BB,1553900400,40,74,13.07,-59.53,78.8,16.11
191,lima,PE,1553902338,0,69,-12.06,-77.04,74.03,13.87
192,tuatapere,NZ,1553902209,0,98,-46.13,167.69,61.0,3.62
193,gari,RU,1553902733,88,89,59.43,62.35,31.75,5.64
194,gairo,TZ,1553902733,12,93,-6.14,36.87,58.39,2.73
195,methoni,GR,1553902545,20,49,36.82,21.7,50.16,6.93
196,winschoten,NL,1553902718,0,100,53.14,7.04,42.98,1.12
197,kenora,CA,1553902322,90,86,49.76,-94.48,30.2,16.11
198,paamiut,GL,1553902734,92,93,61.99,-49.67,33.1,27.89
199,vinh,VN,1553902734,92,98,18.67,105.69,73.24,3.96
200,bandarbeyla,SO,1553902734,92,100,9.49,50.81,78.91,7.43
201,ossora,RU,1553902734,56,96,59.24,163.07,21.4,15.26
202,laguna,MX,1553899740,75,28,27.52,-110.01,84.2,6.93
203,poum,MK,1553902735,0,50,41.28,20.71,36.97,3.4
204,lauria,IT,1553902735,0,88,40.05,15.84,29.5,1.83
205,karratha,AU,1553902735,20,65,-20.74,116.85,80.26,12.01
206,victoria,BN,1553900400,75,94,5.28,115.24,77.32,1.12
207,ocala,US,1553902501,1,40,29.19,-82.14,71.49,10.29
208,muzhi,RU,1553902736,0,80,65.4,64.7,22.84,13.8
209,isilkul,RU,1553902737,92,94,54.9,71.26,33.82,8.21
210,hami,CN,1553902737,0,55,42.84,93.51,39.13,6.2
211,kavaratti,IN,1553902590,20,100,10.57,72.64,83.68,10.89
212,dunedin,NZ,1553902297,0,64,-45.87,170.5,64.0,11.01
213,dombarovskiy,RU,1553902737,44,79,50.76,59.54,19.24,2.95
214,itirucu,BR,1553902737,80,87,-13.53,-40.15,73.78,6.31
215,qasigiannguit,GL,1553899800,44,57,68.82,-51.19,21.2,21.92
216,lata,IN,1553902738,44,77,30.78,78.62,47.32,2.62
217,hereford,GB,1553902563,8,92,52.06,-2.72,42.4,2.73
218,iberia,PE,1553902738,76,67,-11.41,-69.49,80.8,4.29
219,muhos,FI,1553902402,0,77,64.81,26.0,32.74,12.75
220,koungheul,SN,1553902738,76,36,13.98,-14.8,83.86,14.47
221,pandan,PH,1553902739,0,99,11.72,122.09,79.9,13.24
222,mokolo,CM,1553902739,0,43,10.74,13.8,71.98,4.74
223,nouadhibou,MR,1553900400,0,82,20.93,-17.03,64.4,9.17
224,linjiang,CN,1553902739,88,67,41.81,126.91,28.24,3.62
225,conakry,GN,1553900400,20,83,9.52,-13.7,80.6,9.17
226,saint-louis,CH,1553902680,0,80,47.59,7.56,41.76,1.12
227,mahibadhoo,MV,1553902740,0,100,3.78,72.97,83.68,4.52
228,pudozh,RU,1553902740,0,87,61.81,36.54,34.27,16.04
229,ambulu,ID,1553902740,68,100,-8.35,113.61,79.72,1.95
230,ilulissat,GL,1553899800,44,57,69.22,-51.1,21.2,21.92
231,kahului,US,1553902470,40,58,20.89,-156.47,76.69,11.41
232,acapulco,MX,1553899500,40,74,16.86,-99.88,84.2,9.17
233,kungurtug,RU,1553902741,0,60,50.6,97.53,-3.53,3.51
234,yatou,CM,1553902741,44,91,3.63,9.81,85.66,13.35
235,vikindu,TZ,1553896800,20,88,-6.98,39.3,80.6,2.39
236,puerto narino,CO,1553900400,75,88,-3.77,-70.38,82.4,2.06
237,avera,US,1553901300,1,35,33.19,-82.53,72.82,3.36
238,provideniya,RU,1553902742,92,91,64.42,-173.23,33.73,22.53
239,narsaq,GL,1553899800,88,92,60.91,-46.05,24.8,2.73
240,fez,MA,1553900400,75,52,34.03,-5.02,63.41,6.93
241,ulladulla,AU,1553902293,90,100,-35.36,150.48,61.2,8.05
242,coquimbo,CL,1553900400,90,87,-29.95,-71.34,57.2,6.93
243,broken hill,AU,1553900400,0,54,-31.97,141.45,53.6,20.8
244,vilcun,CL,1553900400,90,87,-38.65,-72.23,53.6,3.36
245,kruisfontein,ZA,1553902746,0,85,-34.0,24.73,60.73,2.95
246,malhargarh,IN,1553902746,0,48,24.29,74.99,65.32,3.18
247,moranbah,AU,1553902746,80,93,-22.0,148.04,77.38,4.74
248,changping,CN,1553902661,0,23,40.22,116.23,44.47,20.13
249,kurumkan,RU,1553902750,8,59,54.33,110.32,-1.28,1.72
250,chapais,CA,1553900400,1,37,49.78,-74.86,21.2,3.36
251,mombetsu,JP,1553902750,8,87,44.35,143.35,32.02,12.35
252,falam,MM,1553902750,0,79,22.91,93.68,54.52,2.17
253,kavieng,PG,1553902751,36,100,-2.57,150.8,83.14,7.43
254,yaan,NG,1553902751,0,66,7.38,8.57,83.14,13.8
255,limbang,BN,1553900400,75,100,4.75,115.01,77.58,1.12
256,kawalu,ID,1553902751,48,96,-7.38,108.21,68.02,1.61
257,yar-sale,RU,1553902751,36,80,66.83,70.83,26.17,14.58
258,navirai,BR,1553902752,0,69,-23.07,-54.19,75.76,6.42
259,ayia marina,GR,1553902564,20,92,37.75,23.53,47.64,11.41
260,syracuse,US,1553902692,40,48,43.05,-76.15,44.55,2.06
261,khammam,IN,1553902752,0,83,17.25,80.15,72.88,4.18
262,anadyr,RU,1553902347,75,91,64.73,177.51,32.0,17.9
263,rantepao,ID,1553902752,68,96,-2.97,119.9,69.91,2.73
264,maceio,BR,1553900400,40,83,-9.67,-35.74,80.6,5.82
265,jaisalmer,IN,1553902620,0,53,26.91,70.91,67.66,8.1
266,nikolayevka,RU,1553902753,68,97,46.73,38.57,39.49,13.47
267,joshimath,IN,1553902594,44,100,30.57,79.57,18.79,0.38
268,komsomolskiy,RU,1553902753,32,84,67.55,63.78,27.97,19.06
269,kirkuk,IQ,1553902754,88,76,35.47,44.4,53.89,11.23
270,jiwani,PK,1553902754,0,79,25.05,61.74,69.64,8.66
271,ihosy,MG,1553902754,48,94,-22.4,46.13,63.07,2.73
272,belle fourche,US,1553902560,75,100,44.67,-103.85,33.73,5.82
273,vila velha,BR,1553902692,0,83,-3.71,-38.6,80.87,3.36
274,aykhal,RU,1553902754,0,61,65.95,111.51,8.71,2.62
275,jardim,BR,1553902594,32,55,-21.48,-56.15,82.51,7.76
276,aksu,KZ,1553900400,90,93,52.04,76.93,39.2,11.18
277,nakhon phanom,LA,1553902755,0,90,17.4,104.79,72.79,3.06
278,hay river,CA,1553900400,75,69,60.82,-115.79,37.4,11.41
279,batagay-alyta,RU,1553902756,0,65,67.8,130.41,4.12,4.07
280,faya,SA,1553900400,0,63,18.39,42.45,62.04,6.93
281,cocobeach,GA,1553900400,40,88,1.01,9.58,82.4,4.7
282,susanville,US,1553902388,75,39,40.42,-120.65,47.61,10.29
283,pakxan,LA,1553902756,20,93,18.39,103.66,71.71,1.39
284,ambon,FR,1553902707,12,87,47.55,-2.56,47.61,6.93
285,chai badan,TH,1553902756,8,88,15.2,101.13,72.16,2.73
286,dong hoi,VN,1553902757,24,100,17.48,106.6,76.48,3.18
287,romita,MX,1553899500,5,18,20.87,-101.52,86.0,9.17
288,papara,BR,1553902692,0,83,-3.98,-38.73,80.87,3.36
289,niigata,JP,1553900400,75,70,37.91,139.04,42.8,4.7
290,grindavik,IS,1553902184,75,92,63.84,-22.43,27.9,4.7
291,robore,BO,1553900400,40,83,-18.33,-59.76,77.0,4.52
292,hobyo,SO,1553902758,0,91,5.35,48.53,77.56,7.99
293,morant bay,JM,1553900400,40,58,17.88,-76.41,82.4,5.82
294,ngunguru,NZ,1553902684,92,86,-35.62,174.5,69.01,11.01
295,santa fe,AR,1553902540,20,66,-31.62,-60.7,77.95,1.99
296,mehamn,NO,1553902759,88,91,71.03,27.85,32.29,26.33
297,baghmara,IN,1553902759,0,79,23.8,86.21,66.94,3.06
298,sterling,US,1553902746,90,52,39.0,-77.4,62.28,4.7
299,soure,PT,1553902564,0,89,40.06,-8.63,48.94,1.95
300,puerto del rosario,ES,1553900400,20,72,28.5,-13.86,62.6,3.36
301,batagay,RU,1553902760,0,61,67.65,134.64,6.91,2.95
302,mayumba,GA,1553902760,76,100,-3.44,10.65,80.17,4.85
303,tual,ID,1553902760,88,100,-5.67,132.75,78.46,13.35
304,del rio,US,1553900280,1,57,29.36,-100.9,81.23,12.75
305,carballo,ES,1553902507,0,81,43.21,-8.69,47.41,5.82
306,santa maria,BR,1553896800,0,78,-29.69,-53.81,75.2,5.82
307,jumla,NP,1553902762,56,92,29.28,82.18,28.78,2.28
308,tecolutla,MX,1553902763,0,38,17.31,-98.74,77.11,2.73
309,mount isa,AU,1553900400,0,57,-20.73,139.49,78.8,17.22
310,neuquen,AR,1553900400,0,50,-38.95,-68.06,75.2,8.55
311,eirunepe,BR,1553902763,20,87,-6.66,-69.87,76.84,1.39
312,sayyan,YE,1553902763,64,87,15.17,44.32,46.6,1.16
313,east london,ZA,1553902764,0,100,-33.02,27.91,72.61,19.51
314,xixiang,CN,1553902739,20,83,22.58,113.87,72.36,6.71
315,carnarvon,ZA,1553902708,0,34,-30.97,22.13,51.01,4.18
316,iqaluit,CA,1553900400,90,72,63.75,-68.52,15.8,9.17
317,havre,US,1553902253,90,34,48.55,-109.68,45.77,9.17
318,flin flon,CA,1553900400,75,50,54.77,-101.88,28.4,14.99
319,pareora,NZ,1553902415,0,75,-44.49,171.21,66.99,3.0
320,balabac,PH,1553902765,0,100,7.99,117.06,82.42,6.42
321,nemuro,JP,1553902765,0,100,43.32,145.57,30.13,13.24
322,anaconda,US,1553902359,90,80,46.13,-112.94,33.94,5.82
323,mount gambier,AU,1553900640,75,76,-37.83,140.78,50.0,18.34
324,fukue,JP,1553902758,75,66,35.03,136.69,52.68,5.82
325,fare,PF,1553902766,64,97,-16.7,-151.02,85.48,9.44
326,moa,CU,1553902766,24,73,20.66,-74.95,70.36,3.51
327,batemans bay,AU,1553902418,92,95,-35.71,150.18,58.6,3.18
328,gazli,UZ,1553902766,0,81,40.13,63.45,41.92,2.95
329,pompeu,BR,1553900400,0,57,-21.05,-48.85,80.6,9.17
330,fenoarivo atsinanana,MG,1553902767,68,98,-17.38,49.41,71.89,2.17
331,mgandu,TZ,1553902767,12,91,-5.96,34.11,61.18,3.18
332,vinukonda,IN,1553902767,0,89,16.05,79.74,73.78,7.54
333,scottsbluff,US,1553902751,90,96,41.87,-103.67,34.57,8.05
334,hualmay,PE,1553902767,64,79,-11.1,-77.61,70.09,4.41
335,hovd,NO,1553902744,75,86,63.83,10.7,37.33,20.8
336,hadejia,NG,1553902768,0,27,12.45,10.04,74.95,8.66
337,goundam,ML,1553902768,12,29,16.42,-3.66,81.61,7.2
338,magdagachi,RU,1553902768,12,48,53.45,125.8,21.04,3.74
339,orlik,RU,1553902768,0,62,52.51,99.83,-0.92,1.95
340,haines junction,CA,1553902768,92,75,60.75,-137.51,37.78,2.51
341,kosa,RU,1553902769,56,89,59.94,54.99,27.52,8.32
342,kula,RS,1553900400,0,64,45.61,19.53,39.2,5.82
343,shar,NG,1553902769,12,56,7.3,8.73,85.39,12.57
344,saint-denis,FR,1553902760,0,75,48.94,2.36,45.16,3.36
345,tondano,ID,1553902200,40,88,1.3,124.91,78.8,1.12
346,bolokhovo,RU,1553902770,80,95,54.09,37.83,32.83,9.55
347,nichinan,JP,1553902345,75,82,31.65,131.31,56.35,1.12
348,semporna,MY,1553900400,75,88,4.48,118.61,77.0,1.12
349,manadhoo,MV,1553902770,0,100,5.77,73.38,83.32,3.96
350,port hardy,CA,1553900400,20,66,50.7,-127.42,55.4,10.29
351,novo aripuana,BR,1553902771,56,90,-5.12,-60.38,78.19,2.95
352,bilma,NE,1553902771,0,30,18.69,12.92,65.77,2.73
353,aklavik,CA,1553900400,75,69,68.22,-135.01,36.64,4.7
354,peterhead,AU,1553902651,75,81,-34.83,138.5,54.93,17.22
355,zaria,NG,1553902772,0,45,11.11,7.72,69.91,3.96
356,fengzhen,CN,1553902773,8,42,40.43,113.15,24.01,11.23
357,sumbawanga,TZ,1553902773,36,99,-7.95,31.62,68.47,5.19
358,parfenyevo,RU,1553902773,92,93,58.48,43.41,31.84,17.49
359,ha tinh,VN,1553902538,56,99,18.33,105.9,75.94,3.74
360,port keats,AU,1553902773,0,80,-14.25,129.55,87.28,4.74
361,portland,US,1553902244,75,44,45.52,-122.67,61.81,3.4
362,madimba,CM,1553902773,68,91,4.42,9.93,77.56,3.62
363,broome,GB,1553902749,0,87,52.47,1.45,41.25,5.82
364,santo antonio do sudoeste,BR,1553902774,0,85,-26.07,-53.73,73.51,2.17
365,dehloran,IR,1553902774,24,69,32.69,47.27,53.98,4.85
366,hervey bay,AU,1553902535,75,69,-25.3,152.85,83.26,16.11
367,alta floresta,BR,1553902774,44,97,-9.87,-56.08,76.93,1.95
368,tyrma,RU,1553902775,0,49,50.04,132.17,20.14,3.62
369,natal,BR,1553900400,20,83,-5.81,-35.21,80.6,5.82
370,nuuk,GL,1553899800,88,94,64.17,-51.74,32.0,44.96
371,elizabeth city,US,1553902737,1,45,36.3,-76.22,65.98,8.05
372,beatrice,US,1553902516,90,93,40.27,-96.75,37.04,11.41
373,beidao,CN,1553902664,0,62,34.57,105.89,32.83,2.62
374,herouville-saint-clair,FR,1553902201,32,93,49.21,-0.31,45.82,3.36
375,marsaxlokk,MT,1553902552,0,66,35.84,14.54,54.05,3.36
376,lebyazhye,RU,1553902743,0,86,59.96,29.42,37.15,11.18
377,vrangel,RU,1553902776,56,98,42.73,133.08,36.25,11.56
378,petropavlovsk-kamchatskiy,RU,1553900400,12,55,53.05,158.65,33.8,13.42
379,lieto,FI,1553902562,0,86,60.5,22.46,37.06,9.17
380,maragogi,BR,1553902724,92,100,-9.01,-35.22,77.38,2.73
381,tiznit,MA,1553902777,0,85,29.7,-9.73,58.12,2.17
382,saint anthony,US,1553902768,1,34,43.97,-111.68,44.22,11.41
383,zhengjiatun,CN,1553902777,88,55,43.51,123.51,33.01,15.26
384,cherskiy,RU,1553902778,12,73,68.75,161.3,8.08,3.85
385,san jeronimito,MX,1553899440,5,62,17.55,-101.33,87.8,9.17
386,high prairie,CA,1553902778,0,48,55.43,-116.48,50.29,5.41
